사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2025-12,4호선,0429,신용산,14,2,"1,487","1,285","4,279","14,546","12,518","43,022","19,644","100,487","18,337","76,618","16,997","42,495","24,307","42,124","27,079","45,360","32,897","44,787","33,495","43,204","46,697","46,580","60,492","52,842","83,172","62,148","108,283","65,632","58,660","37,914","51,658","21,223","54,497","15,498","41,927","11,093","19,294","5,740","2,775","1,874",23,112,0,0,0,0,2026-01-03 11:12:47
2025-12,4호선,0430,이촌(국립중앙박물관),20,1,"1,322","1,000","5,229","8,526","12,731","13,866","17,872","27,277","13,082","35,060","12,188","37,951","19,217","29,434","30,154","30,650","25,880","34,600","29,825","30,675","38,306","26,805","46,767","21,831","46,151","20,548","34,163","23,601","12,272","14,942","10,408","10,655","8,688","10,431","4,674","8,840","1,601","4,871",304,"1,692",8,121,0,0,0,0,2026-01-03 11:12:47
2025-12,4호선,0431,동작(현충원),13,1,210,"2,596",733,"10,173","1,654","3,551","2,258","5,787","2,049","3,196","1,784","2,734","2,667","2,044","2,242","2,377","2,216","2,899","2,300","2,657","3,703","2,475","9,732","2,430","9,370","2,639","5,532","3,072","2,381","2,006","1,731","2,183","1,596",993,"1,199",857,546,630,111,419,1,129,0,11,0,0,2026-01-03 11:12:47
2025-12,4호선,0432,총신대입구(이수),95,4,"6,090","1,226","17,272","11,960","47,627","20,698","60,864","42,949","39,806","32,049","32,191","27,124","31,608","29,568","34,814","32,594","35,062","34,499","34,361","38,035","37,313","44,719","40,544","50,975","44,497","61,422","45,331","81,515","28,279","49,003","25,347","31,503","22,498","28,482","19,449","24,866","8,805","15,084","1,544","4,118",16,886,0,16,0,0,2026-01-03 11:12:47
2025-12,4호선,0433,사당,176,30,"11,102","1,262","28,187","16,363","68,525","22,804","80,795","35,935","62,620","29,420","47,279","27,009","40,841","41,103","41,729","39,094","43,374","32,832","44,585","33,060","45,869","40,526","47,998","57,852","52,357","80,732","51,917","110,146","38,561","64,415","38,248","40,169","41,840","37,342","38,071","34,850","18,728","22,419","2,257","6,823",31,"1,265",0,61,0,0,2026-01-03 11:12:47
2025-12,4호선,0434,남태령,3,0,594,58,"1,070","1,928","2,512","6,471","3,721","6,085","2,518","2,120","2,536","1,322","2,471","1,276","2,509","1,386","2,330","1,369","2,323","1,535","2,898","1,651","4,451","1,921","5,777","1,921","4,283","1,787","1,862","1,435","1,189","1,550",851,"1,246",497,"1,093",283,606,31,165,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1001,서울역,3,0,61,783,139,"5,140","12,750","8,734","26,194","9,954","22,454","8,068","19,139","6,733","24,364","4,610","24,429","7,283","21,515","6,534","8,505","6,248","23,938","7,512","21,237","8,583","29,240","11,713","30,462","11,689","30,177","8,984","18,406","6,139","25,237","5,734","17,558","4,843","10,421","1,086","1,617",108,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1002,남영,104,1,"2,568","1,585","4,992","7,779","13,136","19,852","20,361","43,365","12,842","26,410","10,113","14,325","11,832","13,976","12,656","13,266","14,406","15,102","15,019","13,577","17,391","14,818","22,268","17,243","29,964","22,258","37,149","28,421","17,265","18,095","15,726","11,874","15,995","10,989","13,647","9,760","6,416","5,975",438,"1,281",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1003,용산,326,6,"4,245","6,130","5,899","35,137","22,989","82,802","34,167","151,224","50,086","122,126","35,752","104,882","63,762","100,838","64,287","108,250","79,891","109,013","72,064","108,491","125,849","109,052","147,739","117,471","158,163","124,779","181,292","117,651","129,933","77,510","132,667","51,848","135,675","33,148","92,959","18,118","34,603","8,023","2,129","2,310",2,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1004,노량진,274,9,"4,412","2,519","6,885","6,892","18,597","7,187","25,305","14,053","14,321","11,836","11,264","11,185","13,108","18,309","14,745","18,216","16,923","16,413","18,793","15,897","20,225","19,175","22,515","29,939","22,968","42,002","23,189","56,393","18,719","28,482","18,955","15,927","21,538","13,998","20,540","12,475","8,510","8,082",595,"1,757",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1005,대방,508,8,"4,447","2,378","9,315","11,074","24,148","33,577","30,268","44,938","18,418","22,189","14,743","12,712","14,308","13,013","15,473","13,641","15,317","15,190","15,789","14,177","17,150","16,104","19,202","19,840","31,504","26,275","35,972","33,101","13,703","20,387","10,977","15,566","9,650","15,146","6,320","13,846","2,155","8,572",152,"2,126",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1006,영등포,"4,375",80,"13,838","6,591","15,904","23,747","41,071","63,146","60,723","133,226","39,928","97,170","42,602","81,938","51,409","100,197","60,824","105,205","68,258","107,147","75,311","95,454","109,144","92,967","124,762","96,786","140,418","106,602","176,981","119,195","104,990","73,551","107,124","45,132","85,146","36,008","67,140","30,158","28,302","18,250","1,203","4,400",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1007,신도림,589,12,"2,048",683,"3,072","2,793","8,150","7,120","10,180","14,880","6,162","8,331","4,861","5,412","5,028","5,200","5,192","5,666","5,106","7,335","5,160","6,298","5,969","7,455","7,216","8,271","12,250","10,665","13,212","13,963","6,147","7,904","4,705","5,048","4,747","4,776","5,003","4,262","1,814","2,703",103,"1,069",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1032,신길,810,9,"8,723","1,425","10,657","5,045","24,377","18,113","32,350","27,368","18,490","12,630","12,461","7,669","11,476","7,514","13,148","8,257","12,204","9,234","10,855","9,271","11,906","11,040","14,828","13,442","21,012","17,482","27,112","22,870","10,491","15,939","7,488","12,204","6,476","13,023","4,847","11,509","2,167","7,022",162,"1,815",1,1,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1701,구로,"10,677",95,"18,495","3,685","17,395","13,245","35,690","31,334","34,923","68,769","25,246","37,806","20,956","29,701","22,251","28,691","24,756","26,197","26,425","26,490","28,440","25,729","34,194","28,355","40,539","32,947","55,617","40,591","53,276","42,326","25,627","27,513","22,910","19,442","19,155","19,221","12,440","17,366","4,975","13,126",81,"12,432",0,44,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1702,가산디지털단지,"1,186",21,"6,829","2,199","7,559","12,012","16,749","58,449","17,144","155,500","11,882","75,687","11,062","23,783","13,026","17,274","15,172","17,564","16,577","17,202","17,806","17,346","22,221","17,264","31,885","21,851","78,264","26,714","105,060","30,513","41,301","21,638","25,741","14,909","21,577","13,859","14,194","13,411","6,350","7,627",262,"1,156",0,3,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1703,금천구청,416,4,"10,183","1,305","17,472","5,666","42,365","15,690","38,893","29,302","23,523","12,555","18,848","9,658","17,191","10,457","16,153","11,283","16,063","15,566","15,195","14,211","15,398","18,208","17,064","24,104","18,257","31,890","26,790","42,216","10,315","29,767","8,159","18,440","7,109","17,505","4,199","14,564","1,444","9,249",55,860,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1704,석수,185,3,"7,757","2,184","15,345","5,533","34,253","10,635","31,575","13,147","18,012","8,859","14,740","7,225","13,131","6,005","12,519","6,686","12,226","8,559","11,000","9,363","12,853","12,138","14,154","14,864","16,784","21,498","14,219","29,001","7,924","22,626","5,579","15,212","4,661","14,896","3,367","13,237","1,318","8,189",74,797,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1705,관악,82,3,"7,942","1,777","12,876","3,410","31,730","6,436","27,574","11,942","15,723","9,862","12,018","9,586","10,758","7,867","12,536","7,334","11,818","8,038","10,927","8,809","11,056","10,689","12,154","13,686","11,793","18,445","11,075","27,770","5,851","20,673","4,914","13,209","4,259","12,956","2,514","10,990","1,068","7,810",78,872,0,1,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1706,안양,335,4,"15,641","3,363","37,236","11,055","92,211","18,474","76,282","39,454","44,443","35,945","36,155","30,953","35,769","34,065","39,418","31,970","38,324","37,922","39,957","33,806","44,026","42,286","50,595","47,892","47,245","64,443","38,160","88,347","25,212","65,101","21,323","40,025","20,361","35,648","15,919","28,692","7,333","21,027",443,"2,810",0,3,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1707,명학,89,0,"6,026","1,889","10,674","7,954","26,567","27,310","22,224","49,927","11,818","14,431","9,501","9,217","9,944","10,702","10,852","8,095","11,390","9,124","11,589","9,216","13,185","8,798","16,751","10,620","29,711","14,029","35,066","20,554","11,775","17,006","9,675","10,040","6,463","8,823","4,156","8,672","1,782","6,409",145,"1,300",0,2,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1708,금정,672,12,"24,745","5,146","39,005","20,784","94,673","49,303","90,073","95,666","55,423","37,154","42,794","25,321","39,384","28,802","41,565","29,179","38,919","33,167","37,383","33,706","41,173","45,150","48,408","53,597","75,560","72,852","76,897","97,594","36,143","77,167","29,649","50,473","25,324","47,294","18,313","41,844","8,353","28,145",709,"11,879",2,6,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1709,군포,31,0,"5,432","2,219","8,343","10,222","18,438","30,617","15,985","39,715","9,150","7,913","7,795","5,018","7,895","4,745","7,961","5,224","7,194","5,754","6,872","6,021","8,231","8,047","11,201","8,085","25,638","10,859","31,817","13,357","10,529","11,797","7,359","7,598","4,346","6,593","2,548","5,500","1,232","3,765",54,767,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1710,의왕,75,0,"6,627","2,478","13,328","9,340","27,684","35,755","28,264","31,276","15,091","11,937","12,384","6,897","11,820","7,686","13,061","8,388","11,740","9,402","11,555","8,994","13,605","11,732","18,340","15,073","32,523","20,156","25,107","26,939","12,114","20,397","10,089","13,639","6,829","12,480","4,386","10,781","1,929","7,525",119,"1,355",0,1,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1711,성균관대,192,12,"9,656","2,507","29,623","7,214","71,030","10,262","57,434","25,677","29,866","17,637","25,183","16,083","23,398","17,227","24,083","16,808","22,665","20,864","22,134","19,746","24,497","25,113","29,129","30,800","30,388","43,410","26,597","62,268","16,629","48,330","14,096","32,045","12,448","29,308","9,897","26,310","4,850","18,065",374,"3,325",0,8,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1712,화서,328,37,"9,689","1,469","25,852","4,185","47,788","6,466","35,609","13,914","17,230","12,342","14,754","13,782","13,981","18,803","14,702","21,964","15,259","23,670","17,635","21,956","22,407","24,370","27,026","25,462","26,661","31,865","24,100","48,890","18,560","34,065","15,456","20,380","14,289","16,015","11,597","15,079","2,234","9,769",128,"1,996",0,3,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1713,수원,"1,884",57,"21,608","4,474","37,130","30,399","75,952","52,725","69,071","74,681","49,358","70,613","49,684","76,594","54,496","80,101","60,088","93,757","64,630","87,315","67,904","84,528","89,172","90,624","103,486","100,217","102,010","112,468","108,177","136,297","86,932","93,956","93,771","57,231","71,863","46,512","61,793","37,241","24,010","24,711",820,"8,206",0,17,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1714,독산,445,4,"7,789","2,283","18,916","11,057","50,840","42,468","47,702","89,581","25,431","38,894","19,756","14,855","20,108","12,709","20,502","11,936","19,335","16,005","18,993","14,551","20,991","18,246","31,601","22,290","55,709","29,868","62,897","46,318","26,352","35,469","16,686","23,518","11,605","23,575","7,247","22,171","2,934","13,357",140,824,0,1,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1715,세류,678,7,"4,099",721,"10,463","2,919","17,076","4,087","12,207","4,333","6,451","3,141","5,683","3,118","5,033","3,566","5,017","3,796","4,578","3,827","4,548","3,932","5,534","5,272","6,257","6,671","6,967","8,625","5,587","14,004","3,571","10,396","2,959","7,916","2,568","7,193","1,528","5,263",533,"3,503",13,"1,070",0,6,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1716,병점,"3,485",26,"8,011","3,241","31,885","10,961","53,588","20,346","43,396","27,940","30,977","16,494","28,670","13,540","27,882","16,563","27,846","18,351","24,619","18,943","24,690","21,802","27,236","27,812","30,325","34,154","35,724","43,594","32,498","54,453","17,647","43,776","14,542","33,560","12,040","26,081","8,705","27,029","3,254","17,963",61,"8,203",0,2,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1717,세마,263,1,"2,305","1,244","7,427","2,337","11,482","5,279","11,310","10,281","7,274","2,788","5,703","2,373","5,126","3,066","5,383","2,791","6,110","3,798","5,138","4,000","5,710","4,331","6,465","7,834","8,120","9,277","8,587","10,145","3,528","9,750","2,648","6,591","1,972","5,886","1,421","5,848",654,"3,092",71,300,1,1,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1718,오산대,149,2,"2,939",983,"8,253","2,953","13,853","5,103","11,319","9,118","7,363","3,285","6,352","3,272","5,668","3,658","5,650","3,504","6,610","4,580","5,577","4,754","6,332","5,211","7,449","7,462","8,489","10,208","9,263","13,156","4,573","11,647","3,543","6,829","3,576","6,118","2,509","5,453","1,101","3,196",111,291,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1719,오산,347,5,"7,685","2,212","16,398","11,531","26,308","22,702","27,815","24,601","21,021","13,726","20,737","12,321","19,496","11,963","20,655","15,073","18,601","15,703","19,028","17,349","19,796","21,380","24,631","25,590","26,633","29,350","26,368","33,180","17,144","26,409","12,922","19,749","9,698","15,016","5,906","12,218","2,149","9,048",164,751,0,3,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1720,진위,29,0,921,424,"1,417","2,515","2,894","8,861","2,575","7,791","2,148","2,523","1,994","2,060","2,174","1,291","2,027","1,053","1,947","1,450","2,077","1,291","4,197","1,653","4,605","1,863","7,566","2,445","6,912","2,551","2,691","2,203","1,597","1,507","1,097","1,391",588,"1,267",274,847,12,66,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1721,송탄,67,2,"5,091","1,010","8,385","3,044","12,443","6,444","11,026","9,559","9,320","4,397","8,346","3,693","9,014","5,573","8,610","5,333","8,886","5,605","7,970","7,012","9,020","7,323","9,898","10,090","9,412","11,932","9,011","12,182","5,496","12,954","3,912","9,621","3,124","7,754","2,036","7,520",972,"5,600",81,598,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1722,서정리,40,0,"4,469","3,183","14,148","7,045","18,811","14,873","18,309","18,567","15,873","9,012","14,824","7,447","14,297","8,292","15,273","10,915","13,547","11,497","15,014","12,408","16,727","14,996","20,893","20,351","29,042","21,561","19,030","22,465","11,515","19,867","9,213","16,609","7,156","12,253","5,029","11,559","2,852","8,716",118,"1,092",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1723,평택지제,8,1,"2,752","4,799","5,397","9,314","11,908","11,514","10,704","7,501","7,489","5,128","6,803","4,062","6,710","4,593","7,274","4,699","5,477","4,396","6,181","5,620","8,810","7,113","8,962","8,340","14,990","9,261","10,347","10,069","8,312","9,957","5,658","6,825","4,697","6,457","4,872","5,978","2,846","4,022",85,439,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1724,평택,90,2,"8,655","3,344","13,724","9,949","24,576","15,997","27,603","23,612","27,103","20,692","26,301","18,344","24,321","22,641","24,159","24,782","25,171","25,526","25,632","26,561","27,756","29,463","30,644","36,183","32,532","36,315","28,593","37,029","21,318","25,640","21,575","21,931","14,810","16,253","12,950","12,815","7,115","7,757",191,"2,424",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1725,성환,13,1,"2,246",846,"3,602","3,121","6,086","12,096","6,892","15,436","7,314","15,656","7,831","8,502","8,338","5,958","9,268","8,625","11,760","9,436","11,935","6,040","14,837","6,604","15,847","7,402","18,241","8,106","12,431","7,953","5,223","6,590","4,080","6,291","2,597","5,143","1,904","5,849",733,"4,715",71,"1,215",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1726,직산,26,0,751,306,"1,647","1,390","2,411","3,685","2,327","3,456","2,091","1,298","1,652","1,001","1,670","1,043","1,498","1,134","1,585","1,226","1,320","1,351","1,823","1,280","1,786","1,829","4,097","2,451","3,299","2,106","1,159","2,264",998,"1,354",650,"1,429",373,"1,175",170,902,21,172,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1727,두정,875,3,"5,736","1,160","10,850","3,933","18,398","9,450","16,666","17,202","16,718","19,354","13,619","14,061","13,884","13,073","14,968","14,516","15,016","14,016","15,139","12,189","16,933","12,296","17,650","16,104","17,656","19,351","16,753","24,752","10,593","17,177","8,563","13,884","7,532","11,310","5,260","12,750","2,834","9,148",48,"3,173",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1728,천안,"1,454",6,"3,065",788,"5,800","3,531","11,440","6,910","10,181","13,121","16,014","11,477","12,258","11,477","13,913","13,813","13,371","14,987","14,086","13,960","18,752","13,519","18,162","15,152","19,321","14,910","17,894","20,001","14,552","18,443","9,786","11,177","8,581","9,183","6,220","6,841","3,806","5,513","2,288","3,358",56,"2,542",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1729,당정,56,1,"4,726",797,"11,056","4,169","24,835","9,177","21,539","16,334","12,426","8,232","10,163","5,722","10,021","5,869","10,775","6,706","9,526","6,644","9,117","6,498","10,096","8,346","11,129","11,172","13,499","14,854","13,552","20,534","5,672","17,012","4,671","11,864","3,639","10,708","3,021","9,636","1,307","6,740",71,"1,336",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1749,서동탄,2,0,"1,502",12,"5,863",454,"10,636","1,345","3,776",920,"2,817",902,"2,118",612,"2,154",933,"1,761",968,"1,698","1,055","1,620","1,413","2,000","2,155","1,912","2,530","2,000","2,971","1,871","5,572",773,"5,256",728,"2,307",481,"2,474",430,"2,754",162,"1,755",3,"1,252",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경부선,1750,광명,2,0,7,"1,682","3,672","3,139","11,666","7,045","10,683","8,553","6,914","6,367","4,081","4,213","8,194","2,574","5,888","8,510","5,608",228,"3,811","8,770","7,283","4,159","8,549","5,541","10,007","7,586","10,993","12,562","8,987","6,598","2,826","4,691","7,922","3,388","2,842","5,050","1,032",123,1,0,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경인선,1801,개봉,"1,357",2,"18,378","4,533","40,862","11,744","99,004","15,176","90,972","23,903","54,552","21,706","40,808","18,512","38,325","22,500","37,244","26,632","34,503","29,246","31,511","30,933","33,435","40,298","35,868","53,109","35,468","69,851","31,305","95,098","20,577","67,813","16,875","46,249","15,234","40,572","11,849","36,730","4,850","20,610",74,"2,094",0,1,0,0,0,0,2026-01-03 11:12:47
2025-12,경인선,1802,오류동,399,5,"12,449","1,521","18,745","4,188","50,178","5,415","47,291","11,654","30,026","10,190","22,837","9,134","21,166","9,511","21,079","13,108","19,458","14,946","16,830","15,372","16,951","19,988","17,626","23,169","16,532","29,691","13,558","43,576","8,616","35,319","6,911","23,989","5,676","21,664","4,196","19,553","1,822","13,030",77,"1,850",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경인선,1803,역곡,828,22,"27,487","2,741","44,497","9,043","111,442","14,061","108,423","34,555","63,219","29,829","45,989","23,034","41,227","24,375","41,749","31,809","41,256","32,558","36,317","34,839","37,292","43,811","41,135","59,029","42,729","75,898","34,617","110,748","21,876","83,984","18,113","52,331","15,251","50,813","12,344","41,988","5,747","28,841",352,"4,326",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경인선,1804,부천,"3,729",27,"38,379","4,522","41,711","11,354","96,649","18,128","99,725","45,080","64,827","43,960","50,575","43,151","51,802","45,240","54,130","55,037","53,545","57,302","55,709","53,949","61,310","61,703","64,140","68,354","60,757","93,510","57,968","108,540","37,500","86,812","31,402","57,101","27,527","51,419","21,393","42,739","10,556","30,742",829,"6,481",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경인선,1805,송내,"1,461",11,"16,504","7,357","38,898","13,937","103,651","26,473","86,010","72,743","51,935","39,835","39,877","24,301","41,714","22,647","39,487","28,064","35,969","27,950","33,755","30,686","38,001","34,988","40,982","46,543","50,003","65,242","70,526","87,784","28,058","78,251","22,125","48,885","18,765","42,478","13,671","37,737","6,525","24,589",720,"4,371",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경인선,1806,부평,"10,129",62,"23,530","3,710","36,089","8,916","88,660","18,228","79,404","34,683","49,627","38,518","42,070","36,453","44,102","43,621","47,276","49,487","47,488","57,648","48,984","59,434","56,091","60,049","60,761","73,872","62,378","94,220","56,372","117,234","41,635","91,758","39,265","56,357","37,310","47,190","31,388","38,419","17,408","25,914","2,664","8,387",2,39,0,0,0,0,2026-01-03 11:12:47
2025-12,경인선,1807,백운,86,24,"8,652","1,305","14,733","2,435","28,441","4,209","26,990","8,909","16,243","6,030","13,986","6,092","12,123","7,134","11,967","8,110","11,589","9,169","10,084","9,386","10,643","12,254","10,896","15,961","10,659","19,555","8,212","24,160","4,601","22,362","3,709","13,232","3,485","12,704","2,418","10,963","1,186","6,645",144,"2,399",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경인선,1808,동암,474,11,"21,405","2,820","28,934","6,230","55,124","12,779","54,381","16,361","33,374","13,810","27,963","14,742","25,617","17,791","26,957","19,021","25,028","20,807","22,607","21,049","23,032","26,404","24,192","36,276","24,857","46,358","21,749","56,331","14,009","47,640","11,655","33,425","10,227","28,921","7,870","26,084","3,945","15,778",393,"5,134",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경인선,1809,주안,"1,146",20,"14,626","2,979","28,981","7,136","58,377","16,306","52,350","26,630","34,607","20,815","29,504","18,525","30,672","18,795","33,360","20,820","31,036","22,627","29,415","23,099","32,290","26,249","34,499","34,436","37,825","43,563","35,338","54,184","21,553","54,674","19,958","32,839","17,106","27,953","13,188","26,184","7,016","19,477",786,"6,063",0,5,0,0,0,0,2026-01-03 11:12:47
2025-12,경인선,1810,제물포,865,6,"8,378","1,627","17,951","5,589","38,427","13,741","32,738","34,593","20,793","15,787","17,476","10,632","17,740","9,482","18,664","12,528","17,972","13,338","16,528","12,612","20,338","15,463","24,358","19,946","23,107","24,595","22,626","32,218","9,977","29,096","7,703","17,598","6,418","16,511","4,335","15,094","1,533","11,118",78,"3,805",0,4,0,0,0,0,2026-01-03 11:12:47
2025-12,경인선,1811,동인천,"1,584",5,"7,273","2,054","17,330","10,657","40,117","20,610","32,369","30,453","21,832","16,744","20,893","17,065","21,456","19,783","25,172","20,229","23,439","21,586","23,096","21,859","28,294","23,033","32,666","25,811","36,539","28,679","34,476","33,355","15,926","32,161","12,054","19,657","9,804","16,240","6,400","14,772","2,324","9,441",11,"3,602",0,5,0,0,0,0,2026-01-03 11:12:47
2025-12,경인선,1812,인천,426,14,"1,485",804,"3,075","3,431","5,322","6,156","4,531","10,584","3,658","5,778","3,923","5,773","4,923","7,773","6,244","8,181","6,929","7,489","9,020","6,336","10,512","5,458","11,933","4,729","12,794","4,566","11,707","4,070","5,245","2,967","4,203","2,414","2,568","2,105","1,537","1,675",584,"1,219",20,"1,016",1,26,0,0,0,0,2026-01-03 11:12:47
2025-12,경인선,1813,구일,345,7,"4,668","1,962","10,488","6,760","26,574","9,548","23,224","15,074","14,698","12,511","12,057","8,800","11,953","8,952","12,268","9,979","10,148","14,419","11,413","15,504","13,232","23,370","16,276","31,756","14,940","24,617","11,583","33,341","11,883","27,181","10,812","12,649","17,578","11,275","21,977","10,207","3,546","6,676",40,759,0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경인선,1814,소사,"1,044",14,"12,591","2,418","14,093","4,716","30,635","7,248","28,092","9,994","18,200","8,852","15,200","8,843","14,692","9,048","14,861","11,772","14,075","11,925","12,530","12,072","12,847","14,665","14,300","16,805","13,724","21,552","10,259","26,690","6,594","21,278","4,766","14,709","3,960","13,717","2,649","11,628","1,231","8,642",124,"2,679",0,0,0,0,0,1,2026-01-03 11:12:47
2025-12,경인선,1815,부개,"1,882",5,"10,547","1,364","16,848","2,992","39,248","5,547","32,920","11,521","19,552","6,459","15,995","6,607","14,737","8,418","14,384","9,400","14,301","10,305","11,725","12,526","11,858","14,052","13,021","18,805","12,170","24,135","10,907","28,965","6,076","24,438","4,465","16,068","3,572","14,946","2,480","12,215","1,271","8,601",165,"2,519",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경인선,1816,간석,328,1,"6,415","1,073","11,392","2,401","21,373","4,244","19,973","9,593","11,981","4,800","10,519","5,423","10,254","6,013","10,092","6,570","9,503","8,085","8,846","8,358","9,350","9,457","9,994","13,006","9,968","15,157","9,421","18,767","5,129","17,201","3,985","11,087","3,756","9,168","2,621","7,829","1,306","5,966",147,"2,158",0,2,0,0,0,0,2026-01-03 11:12:47
2025-12,경인선,1817,도원,776,35,"2,177","1,792","3,220","4,680","7,348","5,680","7,395","19,233","4,849","3,603","4,953","4,372","4,955","3,576","5,997","4,093","6,626","4,549","5,580","4,775","8,372","5,028","11,203","6,154","9,823","6,129","7,853","6,592","2,657","6,047","2,047","4,100","1,746","3,329",961,"2,873",384,"2,394",27,"1,507",0,2,0,0,0,0,2026-01-03 11:12:47
2025-12,경인선,1821,온수(성공회대입구),182,1,"5,399","1,426","8,275","3,121","22,860","8,311","19,476","11,817","13,922","6,995","11,343","5,840","11,868","5,994","12,788","7,763","11,781","7,768","10,241","8,617","11,801","10,645","13,421","12,286","11,085","15,244","9,936","20,478","4,850","16,330","3,854","10,757","4,033","9,833","2,599","9,204","1,604","5,724",118,"1,038",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경인선,1822,중동,"1,019",23,"10,857","1,335","17,973","3,815","42,830","5,427","34,044","11,421","21,082","8,175","16,214","8,305","15,582","9,621","16,137","11,049","15,306","12,435","13,471","12,443","13,431","15,873","13,932","19,492","14,286","25,871","10,846","31,401","6,717","26,339","5,277","17,272","4,716","15,051","2,849","13,188","1,247","8,609",151,"2,067",0,0,0,0,0,0,2026-01-03 11:12:47
2025-12,경인선,1823,도화,265,3,"4,363",508,"7,469","1,737","15,136","4,413","12,942","7,217","8,350","4,121","7,618","3,882","7,537","4,451","7,228","5,101","6,920","5,394","7,229","5,848","6,834","6,793","7,273","9,413","6,764","9,615","6,352","10,516","2,966","10,198","2,682","6,377","2,300","5,466","1,362","4,607",611,"3,772",34,"1,859",0,2,0,0,0,0,2026-01-03 11:12:47
2025-12,경원선,1008,이촌(국립중앙박물관),57,2,"1,158",400,"3,567","2,953","8,847","4,731","10,701","8,773","8,517","5,370","7,595","4,326","7,257","4,596","6,861","4,490","7,488","5,400","6,906","5,143","8,417","6,074","9,835","6,941","10,866","7,449","9,514","9,056","4,575","6,726","4,223","5,093","3,561","4,867","2,200","4,331",670,"2,621",56,817,2,2,0,0,0,0,2026-01-03 11:12:47
