사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2025-12,2호선,0204,을지로4가,18,3,"1,167","1,287","2,552","14,730","6,280","35,160","12,814","81,354","15,795","42,283","21,168","27,483","24,919","26,296","24,685","24,825","25,981","24,469","28,959","23,445","32,741","22,912","40,691","22,527","66,151","23,364","70,961","23,086","31,052","16,987","20,258","13,372","17,350","13,597","12,597","12,760","6,359","7,945","1,781","2,342",63,393,0,11,0,0,2026-01-03 11:12:47
2025-12,2호선,0205,동대문역사문화공원(DDP),205,6,"4,440","1,029","4,023","9,023","6,997","22,005","13,517","47,526","16,980","35,538","21,710","33,411","23,618","33,550","26,942","33,314","28,085","35,814","32,003","36,199","39,482","35,992","45,562","37,038","51,608","40,028","52,606","46,103","36,273","40,313","29,658","30,629","28,056","25,843","20,727","23,669","11,968","16,523","7,739","4,903",288,955,0,1,0,0,2026-01-03 11:12:47
2025-12,2호선,0206,신당,50,2,"5,833","1,180","11,559","6,890","30,763","14,121","56,072","30,057","31,973","21,987","22,934","19,433","21,857","22,793","25,404","23,954","25,525","25,187","25,541","26,073","27,701","29,999","30,987","35,328","34,536","47,101","34,740","65,234","24,149","43,081","21,225","27,140","20,307","25,376","19,052","22,733","9,831","14,310","2,095","5,092",66,417,0,6,0,0,2026-01-03 11:12:47
2025-12,2호선,0207,상왕십리,12,1,"6,213",928,"14,461","6,444","42,595","11,760","67,806","30,407","39,554","18,756","26,274","14,542","22,858","14,845","23,875","16,171","23,093","18,437","21,131","19,805","22,763","24,917","25,543","29,749","28,419","40,056","28,719","58,158","19,398","39,924","13,360","27,072","11,711","25,967","8,284","24,443","3,669","14,993",661,"5,761",15,317,0,2,0,0,2026-01-03 11:12:47
2025-12,2호선,0208,왕십리(성동구청),561,5,"6,491","1,047","10,334","7,394","27,165","13,964","49,577","29,364","31,376","21,264","23,479","17,645","23,701","20,062","26,622","22,260","26,536","23,217","27,213","24,554","30,125","27,438","36,353","33,076","39,391","44,978","38,860","62,041","26,513","38,998","26,017","26,791","29,320","24,017","26,665","23,157","15,321","15,143","3,056","7,303",73,711,0,7,0,0,2026-01-03 11:12:47
2025-12,2호선,0209,한양대,4,0,"1,163",774,"2,908","8,794","6,050","15,520","9,848","60,139","7,914","53,620","9,679","40,497","17,170","20,134","18,635","35,334","22,616","29,100","25,549","21,595","30,868","17,059","38,524","13,129","49,342","15,028","44,150","18,145","22,677","10,579","16,888","7,537","15,998","7,121","11,947","7,084","7,206","4,674","1,713","1,897",19,137,0,0,0,0,2026-01-03 11:12:47
2025-12,2호선,0210,뚝섬,4,0,"3,614","2,366","9,358","14,851","19,385","43,399","27,507","145,275","19,641","106,133","18,110","54,464","22,813","43,178","27,983","43,336","32,530","44,368","40,482","40,770","47,811","41,428","61,516","43,497","92,816","47,959","140,151","52,277","75,461","32,430","55,974","18,157","45,214","15,816","29,686","13,971","11,769","8,881","2,102","3,520",33,180,0,4,0,0,2026-01-03 11:12:47
2025-12,2호선,0211,성수,41,0,"5,044","6,361","8,531","41,006","20,908","77,868","27,910","266,137","24,184","190,305","25,808","146,507","35,781","142,528","52,171","143,554","71,709","147,955","95,861","144,027","130,787","139,226","170,310","128,396","231,361","118,090","317,896","106,675","192,416","61,857","158,523","30,660","133,793","21,881","87,528","17,003","30,557","11,999","4,357","6,697",55,"1,192",3,187,0,0,2026-01-03 11:12:47
2025-12,2호선,0212,건대입구,294,8,"14,165","1,718","22,232","15,479","55,533","24,697","96,164","63,177","68,290","54,936","46,071","53,801","45,332","58,618","53,618","66,992","58,768","71,157","63,609","71,312","72,524","79,193","83,664","94,391","93,203","118,762","100,596","161,273","77,881","114,149","80,038","74,978","82,929","68,647","81,588","64,002","49,264","38,644","8,753","15,142",168,"2,372",4,58,0,0,2026-01-03 11:12:47
2025-12,2호선,0213,구의(광진구청),60,2,"13,749","1,263","28,379","14,180","78,381","20,808","130,122","49,794","80,765","29,065","47,829","27,294","40,688","32,227","42,021","35,085","43,237","37,133","42,506","40,468","44,696","48,001","52,366","58,961","52,089","77,872","58,355","115,066","34,478","83,795","28,591","56,518","28,567","52,522","22,445","50,206","11,185","28,865","2,084","9,869",58,692,1,11,0,0,2026-01-03 11:12:47
2025-12,2호선,0214,강변(동서울터미널),47,1,"8,933","1,790","21,125","17,679","63,875","20,393","100,616","39,082","79,349","33,550","66,344","33,552","59,397","34,996","52,450","38,626","50,057","44,360","47,157","48,576","51,288","57,403","54,847","62,246","57,616","73,204","57,314","91,528","37,183","66,005","28,936","48,345","23,200","39,481","15,779","33,992","6,011","18,754","1,405","5,266",18,313,0,8,0,0,2026-01-03 11:12:47
2025-12,2호선,0215,잠실나루,12,0,"3,262","2,473","12,972","13,887","38,371","22,892","49,906","39,695","32,791","26,231","27,764","19,729","28,035","17,966","25,979","22,511","23,252","23,709","25,406","22,816","29,104","23,388","36,453","25,029","40,514","31,192","31,011","41,700","15,527","30,034","11,166","20,002","8,371","20,512","6,108","18,726","2,692","10,301","1,195","3,211",111,226,0,6,0,0,2026-01-03 11:12:47
2025-12,2호선,0216,잠실(송파구청),101,3,"13,691","5,320","51,042","33,786","123,886","80,586","165,443","180,258","121,881","193,370","94,136","150,644","101,916","154,992","114,949","154,005","129,812","160,216","150,327","166,732","183,089","183,990","213,969","205,493","245,725","234,641","272,655","276,762","211,404","182,480","212,598","119,540","206,571","107,115","140,056","97,377","40,626","62,243","31,159","15,280","1,761","1,195",0,0,0,0,2026-01-03 11:12:47
2025-12,2호선,0217,잠실새내,32,0,"5,977","1,110","18,473","9,965","62,638","18,341","88,061","31,610","56,834","32,008","41,644","27,692","39,171","30,463","40,676","34,989","40,371","39,087","37,690","44,068","41,939","49,829","45,980","57,758","48,416","73,696","48,315","94,303","36,045","63,810","31,398","42,529","30,690","39,254","29,060","35,632","14,709","19,727","3,660","6,363",178,464,0,2,0,0,2026-01-03 11:12:47
2025-12,2호선,0218,종합운동장,26,2,"1,787","1,720","6,148","18,375","16,133","15,053","23,016","26,932","17,159","14,244","13,239","11,960","12,949","11,932","13,636","14,926","12,540","22,211","18,896","22,789","17,976","18,524","29,308","22,074","34,599","27,373","19,341","41,071","11,775","21,400","14,254","12,723","28,669","12,562","13,827","11,887","2,902","6,808",549,"2,173",56,234,0,5,0,0,2026-01-03 11:12:47
2025-12,2호선,0219,삼성(무역센터),120,0,"4,631","7,182","7,052","53,530","14,068","141,821","20,065","317,759","22,334","256,885","29,686","141,416","47,204","112,371","63,381","103,539","82,791","111,711","109,040","101,171","140,357","91,170","177,904","91,021","272,608","95,822","315,965","85,876","179,965","47,419","150,831","25,977","128,682","19,421","85,612","14,056","23,820","7,855","3,353","4,173",79,"1,521",0,27,0,0,2026-01-03 11:12:47
2025-12,2호선,0220,선릉,167,9,"5,012","6,453","11,912","48,502","22,891","127,131","37,238","296,718","38,594","222,425","44,277","109,587","56,386","76,159","68,459","68,503","76,169","79,835","89,829","64,297","115,454","58,200","148,541","60,321","229,540","69,172","293,323","68,684","150,161","43,309","105,116","29,214","98,683","25,945","81,858","22,388","31,391","13,725","5,504","6,422",44,600,3,24,0,0,2026-01-03 11:12:47
2025-12,2호선,0221,역삼,71,3,"3,505","7,366","8,697","44,682","16,024","153,407","27,149","351,416","26,002","313,041","28,710","133,825","38,448","77,302","46,956","66,766","56,157","72,495","70,164","57,491","89,948","48,662","119,524","51,760","235,590","70,291","263,646","73,944","156,458","43,149","95,683","25,868","92,143","22,570","70,134","19,648","25,956","11,811","4,960","4,259",35,394,0,21,0,0,2026-01-03 11:12:47
2025-12,2호선,0222,강남,187,7,"8,950","12,460","18,530","55,582","41,283","153,422","63,337","329,702","56,770","339,967","61,433","168,779","81,411","119,805","98,465","114,114","116,385","130,466","130,753","120,542","161,047","118,789","192,043","130,319","275,319","171,286","333,048","203,795","233,391","117,343","183,062","68,336","201,459","57,109","179,175","48,908","90,106","26,344","16,315","8,824",130,801,1,43,0,0,2026-01-03 11:12:47
2025-12,2호선,0223,교대(법원.검찰청),19,1,"2,620","6,579","10,648","26,170","24,907","52,784","36,462","159,915","31,168","135,346","28,993","74,633","35,742","68,093","38,075","62,204","48,123","63,804","57,666","56,248","61,320","53,678","67,602","59,729","105,559","80,809","135,474","81,189","64,807","44,171","58,170","28,856","57,914","26,695","42,116","24,296","19,083","13,429","3,945","4,538",37,163,0,17,0,0,2026-01-03 11:12:47
